text,concept
The Chartered Institute of Personnel and Development has already made it clear that banning zero-hours contracts will hurt the very workers the Government pretend to protect.,JUST
"But yet again, Ministers plough ahead, blind to the economic damage that they are about to unleash.",ECONOMIC
"I turn to amendment 286 and new clause 86 on unfair dismissal and business confidence. The Government‚Äôs proposal to grant employees the right to claim unfair dismissal from day one is another reckless intervention, and one that is raised with me by small businesses day in, day out.",ECONOMIC
"The amendment and new clause seek to introduce an impact assessment before clause 21 and schedule 2 come into force. Without that, we have to be clear that businesses will be discouraged from hiring in the first place. Flexibility in employment is not one-sided, it benefits both workers and their employers",ECONOMIC
"New clause 84 and amendment 284 rightly demand that the Secretary of State assess the impact of clause 7 before it comes into force. Rushed policymaking will not help workers or businesses, it will create uncertainty and drive investment away.",ECONOMIC
"That is why it is essential that we accept new clause 87 in the name of the shadow Secretary of State, because we need an impact assessment of how the Bill will affect businesses.",ECONOMIC
"Today, as we welcome this transformative legislation, I think of my former students. Their lives will be significantly improved by better wages, stronger workers‚Äô rights and a fairer economy.",ECONOMIC
"I welcome the Bill, which will drastically limit the exploitative use of fire and rehire.",DETER
"Just outside my constituency, but affecting many of my constituents directly, more than 500 Oscar Meyer workers are striking against the company‚Äôs appalling use of the practice. By creating a new right to claim automatic unfair dismissal if someone is reemployed on varied terms to carry out the same duties, the Bill takes a vital step towards dignifying employees with security and autonomy.",AUTONOMY
"Does he agree with me, as a former teacher myself, that removing fire and rehire will give the young people that he used to teach the confidence that when they go into the workplace, they will look at careers and not just jobs?
",JUST
I am also pleased to see Government new clause 34 encouraging greater employer compliance and increasing compensation for workers subjected to fire and rehire by raising the maximum period of the protective award from 90 to 180 days.,CREATE
"Amendment 329, tabled in my name, seeks to further protect against that harmful practice, ensuring that any clause in an employment contract that allows an employer to change the terms without the employee‚Äôs consent would be unenforceable, especially in cases of unfair dismissal related to a refusal to accept changes",RIGHTS
"That would further help redistribute the power imbalance between employers and employees, which currently allows low wages and poor working conditions to become commonplace.",POWER
"The Bill also takes crucial steps towards banning exploitative zero-hours contracts, ensuring that all workers have predictable hours and offering security for their day-to-day lives. I am pleased to see amendments extending such protections to agency workers.",RIGHTS
It is therefore not just my former pupils but millions across the country who will benefit from the biggest upgrade to rights at work in a generation.,RIGHTS
"I am proud to support our Labour Government in this historic step towards better quality employment across the country, and I look forward to the full delivery of the plan to make work pay.",POLIT
"I rise to speak in support of new clause 10, which would make carer‚Äôs leave a paid right.",RIGHTS
"We have an opportunity to give carers in employment a fair deal right across the country, while also bolstering our economy.",JUST
"The Government have an opportunity to build on the Carer‚Äôs Leave Act 2023, introduced by my hon. Friend the Member for North East Fife (Wendy Chamberlain), and take the next step in providing working carers with the flexibility they need to juggle work and care.",RELATE
"they are clear that having those policies in place to support caring is not only good for the employees, but makes them better employees for the employer. The employers really benefit from having members of staff who support them and are also able to do the best for their families.",RELATE
"Backing our Liberal Democrat amendment to make carer‚Äôs leave a paid entitlement would be the right thing to do on a human level and would also support the Government‚Äôs growth agenda. For a Government on a mission to spend less while also delivering growth and better living standards, this is a no-brainer. We must do everything we can to help those carers who can and want to work to do so.",JUST
"Currently, the Government have simply indicated that they will review the implementation of carer‚Äôs leave and consider whether there is a need to change the current approach. I say to the Government in the strongest possible terms that change is needed and the time is now.",ADEQ
"Many of them are on low incomes, they are often women, and they cannot afford to use their right to carer‚Äôs leave unless it becomes a paid right.",RIGHTS
My Liberal Democrat colleagues and I are also pushing for an amendment to make caring a protected characteristic.,RIGHTS
"When people apply for jobs, equality monitoring forms do not ask them whether they have unpaid caring responsibilities. There is also no direct requirement for simple, reasonable adjustments for carers in the workplace. I feel that this would make all the difference, encouraging those who might otherwise leave employment to stay, making our economy more resilient and protecting their own families‚Äô finances.",ECONOMIC
"It seems clear that paid carer‚Äôs leave helps carers and those they care for, and it is good for our economy.",ECONOMIC
I hope the Government can see that with the same clarity and do the right thing in supporting these vital Liberal Democrat amendments.,JUST
"It is a widespread problem, so it is fantastic that the Bill contains clause 22, which will allow the Minister to bring forward steps to expand the available protections. I would like to know how quickly we can do that, because pregnant women out there need that protection literally today.",ADEQ
Does she agree that dismissals of pregnant women or new mothers are dramatically under-reported because of the use of non-disclosure agreements in a lot of companies while they are taking action against them?,ADR
"I could talk about NDAs at some length, but I do not have time to today. They are definitely problematic, and they are definitely concealing the extent of the problems that women suffer when they announce their pregnancies.",ADR
"The answer is that the term ‚Äúpart-timer‚Äù is still a term of abuse in this country. While that is still something that people say fairly regularly within workplaces and popular parlance, we still have a problem, so this legislation should help to improve that.",RELATE
"When they talk about ‚Äúall reasonable steps‚Äù, it is only reasonable steps, it is not every single step in the entire history of the universe that anyone could ever dream up or imagine.",COMPL
"Does she agree that this amendment is being used by the Conservative party to condone something offensive and despicable, and that they are trying to defend the indefensible?",JUST
"A lot of those discussing this behave as if employees with unfair dismissal rights were unexploded bombs. All the people I represented did not want to bring tribunal claims, they just wanted to have been treated fairly and reasonably in the first place.",JUST
"They were typically extremely destressed by their experiences, and for quite a lot of them, their mental health had deteriorated substantially in the course of what they had gone through.",PHYSICAL
"I do not think that when people have unfair dismissal rights a little bit sooner, they will all be rushing to employment tribunals the moment that something goes slightly wrong in their workplace. What most people want to do every morning is get up, go to work, do a decent job, get paid for it and go home.",JUST
"The Government firmly believe that the ability to strike is an important element of industrial relations in the UK. That ability is rightly protected by law, and we understand that an element of disruption is likely with any strike.",RIGHTS
"However, we also need to maintain a reasonable balance between the ability of workers to strike and the rights of the public, who work hard and expect the essential services that they pay for to be there when they need them.",BALANC
"We must be able to have confidence that when strikes occur, people‚Äôs lives and livelihoods are not put at undue risk.",PHYSICAL
"As has become clear from recent industrial action, that is not always the case, so we need a safety net in place to ensure that the public do not become collateral damage.",DETER
"As the Government get on with those priorities, we also have a duty to protect access to vital public services which, let us not forget, the public are paying for through taxation.",ECONOMIC
"Secretary of State, I believe in the fundamental right of a worker to withdraw their labour, whether that happens to be from an employer or against the Government.",RIGHTS
Do the Government really believe that withdrawing the right of a worker to withdraw their labour is what they are about?,RIGHTS
"Those prices going up throughout the rest of the world, including here, has also pushed up wage claims. But I do not think we should get into a 1970s spiral, where we end up with higher wage claims and higher wage settlements, with higher wage claims and inflation continuing for ever. That is a cycle we must break.",COMPAR
"Clearly, if we were to meet all the inflation busting demands of the unions, that would make life harder not only for some but for every single family in this country. That is why we cannot do that.",JUST
"The Government are therefore absolutely clear: we want constructive dialogue with the unions, and the public have had enough of the constant, most unwelcome, and frankly dangerous, disruptions to their lives.",PHYSICAL
"Last week, Human Rights Watch warned that

‚Äúfundamental and hard-won rights are being systematically dismantled‚Äù

in the UK. Is this anti-strike legislation part of the danger that Human Rights Watch is warning about?",JUST
"The International Labour Organisation itself says‚ÄîI will cover this shortly in my speech‚Äîthat it is perfectly proper to have a balance between minimum service levels and people‚Äôs right to strike. I support the ILO in saying that, I absolutely agree it is right.",BALANC
"Millions of people who rely on essential transport to get to work or to family commitments now every day have the extra stress of worrying about making alternative, sometimes costly, arrangements because of the forever strikes.",ECONOMIC
"There are those who, at the most terrifying time of their lives‚Äîperhaps with a poorly loved one‚Äîdo not know whether an ambulance will arrive, because the unions have refused to provide a national safety net.",PHYSICAL
"but it is a fact that when strikes are on and ambulances are unable to find out from their unions whether they will operate, that is an additional concern for members of the public‚Äîincluding Opposition Members‚Äô constituents, whom they seem rather not to care about in this case.",JUST
"Those children are desperately trying to catch up on learning that they missed throughout covid, and again they are unsure about whether they will be able to get to school.",JUST
"There are also the businesses throughout the land whose sales and productivity are suffering. They are terrified that, at a time of high inflation, their livelihoods are at risk along with those of their employees.
",ECONOMIC
"That is why we need minimum safety and service levels to keep livelihoods and lives safe. It is frankly irresponsible, and even surprising, for the Opposition to suggest otherwise.",PHYSICAL
"The reality is this: after 12 years of a Tory Government, minimum safety no longer exists in our NHS. ",POLIT
There is not any safety in the NHS as a result of the Tory Government.,POLIT
"He seems to be arguing that just because there are times of danger, we ought, by design, to enable a system that prevents unions in the ambulance service from telling the NHS when ambulances will be there and what the minimum service would be. That is the issue that we seek to address today.",PHYSICAL
"If this is all about safety, why is the word ‚Äúsafety‚Äù not used once in the Bill or its explanatory notes?",PHYSICAL
"It is fairly obvious to say that a minimum service level in railways, for example, is about people‚Äôs livelihoods rather than safety, but that the NHS and the ambulance service not agreeing nationally is a minimum safety level issue.",PHYSICAL
The Bill will ensure that we protect the ability of workers to take industrial action,RIGHTS
"The Bill will ensure that we protect the ability of workers to take industrial action, but that we also protect the public from disproportionate disruption to their daily lives and that, to put it simply, one person‚Äôs right to strike does not infringe on someone else‚Äôs right to life and limb.",PHYSICAL
"The reality is that safe agreements are negotiated between the staff and the employers. That happens on the ground, the process and the outcomes protect the NHS, because that is what staff want to do.",BALANC
"The way that ambulance strike worked was that the NHS was unable to find out in advance from the ambulance unions where and when, nationwide, cover would be provided. It is the NHS that said that, not the Government. As a result, the NHS has not been able to put the appropriate level of cover in place in advance. If by chance we are wrong about that, there is a safety mechanism in the Bill for that.",ADEQ
"I refer Opposition Members to the voluntary arrangements that were successfully made with the Royal College of Nursing, which did provide a national guarantee. In that case, it would not be necessary to put the measures in place.",ADEQ
"The legislation will allow regulations to be made to ensure that specified services cannot shut down completely when workers strike. That is to maintain crucial and, in many cases, life-saving services.",PHYSICAL
"The human rights memorandum that accompanied the Transport Strikes (Minimum Service Levels) Bill last October stated specifically that the Government‚Äôs legal advice was that it is not justifiable or necessary in a democratic society to have such restrictions in emergency and patient care services, in fire and rescue, or in education‚Äîonly in transport. That does not appear in the human rights memorandum that accompanies this Bill.",RIGHTS
"What has happened in that disruption is that although the nurses have very sensibly provided a national level of safe service, unfortunately the same has not happened in the ambulance service. That is why this legislation is required in other areas at this time",ADEQ
"Ultimately, what people in our constituencies need to know, whether or not we know them, is that in those six sectors a minimum service will be provided regardless of the right of people in the sector to hold back their labour on a pay negotiation or for any other reason.",BALANC
"Those regulations will be tailored to each relevant service, taking account of the different risks to public safety or the impacts on daily life and on the economy.",CREATE
Will he now pass comment on the fact that life-and-limb cover already exists in legislation and that the true purpose of this shameful Bill is simply to erode workers‚Äô rights?,RIGHTS
"I simply do not accept that point. Although it is true that life-and-limb measures exist, we have seen through the many months of rail closures and the strikes that took place last week and in December that unfortunately minimum service levels in one case, and actually minimum safety levels in another, have simply not been available.",ADEQ
"I know that Opposition Members do not want to accept this fundamental point, but their constituents‚Äô lives are being put at risk by the NHS‚Äôs inability to put the correct cover in place with sufficient notice.",PHYSICAL
"I suppose the fundamental point is that we hope very much that, in many cases, we will not need to use the powers conferred by the legislation, but we have seen that that will not always be possible.",ENFORCE
"Can the Secretary of State confirm that this legislation cannot possibly be used to sort out the present winter of discontent? If anything, it will make it far more difficult to secure a resolution of any of the individual strikes, and therefore it is just political posturing.",ADEQ
"During recent strike action by the ambulance service‚Äîthis has been referred to a couple of times, and I want to read it out because it is written down‚Äîthe NHS has not been reassured by the relevant union that it can rely on the current system of voluntary local derogation, which I think is what the hon. Member for York Central was talking about earlier. It could not rely on those arrangements to ensure that patient and public services were provided.",ADEQ
"Last week, and in December, arrangements were being disputed right up to the wire‚Äîright up to the last minute‚Äîwhich created uncertainty and left officials with little time to organise contingency measures such as military support. That is the situation that we cannot, in all conscience, allow to continue.",JUST
"Can he accept that he has failed, and it is time to get the trade unionists into the room and to put this legislation in the bin, where it belongs?",ADEQ
"So we clearly cannot continue to rely on voluntary arrangements to ensure the safety of the people we represent. After all, strokes and heart attacks do not respect boundaries such as trust borders.",PHYSICAL
"We have an opportunity to keep people, their families and their jobs safe during periods of disruption, and that is what we intend to do.",JUST
The Bill and subsequent regulations are designed to enable employers to specify the workers required to meet minimum safety and service levels during strikes within relevant sectors.,BALANC
"Does he not appreciate that thousands of nurses and other workers are leaving the national health service, and thousands of teachers are leaving their profession, because of stress, low pay and underfunding?",ECONOMIC
"Instead of reaching for the statute book and trying to legally constrain trade unions from their legitimate action, why does the Secretary of State not address the fundamental causes: poverty pay, stress, bad conditions and inadequate service in all parts of the UK?",ECONOMIC
"It is important to say that I agree with him, for once, because we are trying to work constructively‚Äîas we should‚Äîto bring strikes to a conclusion, but we must not do so at the expense of the lives and livelihoods of our constituents.",PHYSICAL
It is not the case that the strikes are always perfectly safe for our constituents. That is why we must act.,PHYSICAL
 Unions must take reasonable steps to ensure that members do not participate in strikes if they have been named in a work notice. It is up to unions to ensure public safety and not put lives at risk.,PHYSICAL
"Just as the workplace has evolved and improved since that time, so the trade unions and the laws that govern them have developed too. I hope that, in 2015, no one would argue for the return of the closed shop, the show-of-hands votes in dimly lit car parks or the wildcat walk-outs enforced by a handful of heavies.  That is why the Labour Government repealed not a single piece of union legislation during their 13 years in power. Now it is time for Britainís unions to take the next step, and the Bill will help to achieve just that.
",COMPAR
"The Secretary of State is pretending that the Bill is about democracy rather than being a vindictive attack on working people. If it is really about democracy and opening things up, why is he not lifting the ban on unions balloting online and in the workplace, which would be precisely the way to make a modern democracy work?",AUTONOMY
"Despite what people may have read in some reports, this Bill is not a declaration of war on the trade union movement. It is not an attempt to ban industrial action. It is not an attack on the rights of working people. It will not force strikers to seek police approval for their slogans or their tweets. It is not a reprise of Prime Minister Clement Attlee sending in troops to break up perfectly legal stoppages. It is simply the latest stage in the long journey of modernisation and reform. It will put power in the hands of the mass membership, bring much-needed sunlight to dark corners of the movement, and protect the rights of everyone in this countryóthose who are union members and those who are not, and those hard-working men and women who are hit hardest by industrial action.",RIGHTS
"If this Bill was to be supported by the workers generally, some trade unions would already have given it support. This Bill is opposed by all those unions affiliated to the Labour movement and all those not affiliated to the Labour movementóeven the Royal College of Nursing has said no to this Bill. It is a travesty and an intrusion upon the democracy of the workplaceóget rid of it!",AUTONOMY
"He will know, first, that the British people voted for this Bill at the general election and, secondly, that opinion poll after opinion poll has shown broad support for the measures we are discussing today.",POLIT
"If this is such a fair and reasonable Bill, why does the right hon. Gentlemanís predecessor, Vince Cable, say that it is both ìvindictiveî and ìunnecessaryî?",JUST
"Hon. Members from both sides of this House are, to some extent, insulated from the consequences of strike action. We are lucky enough to have generous travel expenses so that we can hire a car or a taxi when there is a transport strike. We have secure jobs, where we get paid whether we make it into the office or not. Even a Back Bencher is among the top 5% of UK earners, so  we can afford to deal with the childcare costs that might come with a school closure or some disruption. But what about the low-paid restaurant staff who miss a dayís work and a dayís pay because of a stoppage called by a handful of transport workers? What about the self-employed builder who has to turn down a week-long job because a strike by teachers means that his kids cannot go to school? What about the single mother who cannot afford to lose a dayís pay by refusing to cross a picket line? Should she be subjected to abuse and harassment simply for going to work?",BALANC
"The Secretary of State talks about women on low pay. Many of these women and men do not have bank accounts, yet he is still trying to get rid of check-off, which makes it easier for people to join trade unions. How is that helping people to defend their own rights?",ACCESS
"I also want to talk about the impact on taxpayers, who have to fund the salaries of public servants, only for those public servants to spend their time on trade union business. Do taxpayers not have a right at least to know what their taxes are being spent on? These are the people who are not represented in current trade union legislation, and by increasing transparency, fairness and democracy, they are the people that this Bill will protect.",ECONOMIC
"On this issue of consistency, if the trade unions are going to have to pay for the enhanced services of the certification officer, does the Secretary of State believe that Members of Parliament should pay for the costs of our regulator, the Independent Parliamentary Standards Authority?
",COMPAR
"My right hon. Friend is absolutely right. At the heart of this Bill is partnershipópartnership between trade unions and employers and other stakeholders. A great example of that can be seen at Toyota in Britain. It has not had one day of industrial action in  20 years, and that is because of the partnership that it rightly has with its trade union",RELATE
"The Secretary of State is giving the House the impression that London commuters would somehow be protected by his threshold. Is he aware that the recent industrial action on the tube  would have passed those thresholds? He talks about partnership. Is it not the case that it is not the strikes and the ballots that are the problems, but the intransigent Mayor of London who is sitting behind him?",POLIT
"Let me move on to thresholds. The whole point of strikes is to cause disruption, but the impact of industrial action on ordinary peopleóoften the very working people whom unions were created to supportóis such that it should ever be used only as a last resort. It should be taken only after the explicit backing of a majority of members. That is why this Bill sets a minimum turnout of 50% for industrial action ballots. If 1,000 union members are being asked to participate in a strike, at least 500 of them must vote for the ballot to be valid.",BALANC
"I will give way in a moment. In addition, strikes in certain public services will need the support of 40% of those eligible to vote. In our hypothetical 1,000-strong union, a successful ballot will require at least 500 votes to be cast with at least 400 of those being in favour.
",RIGHTS
"what this Tory Government are doing is a continuous Tory vendetta against the trade union movement? He should be thoroughly ashamed that he is bringing in this Bill and, just as in 1927, it will be a future Labour Government who will ensure that this rubbish is destroyed and that trade unions are given back their basic freedoms.
",JUST
"I also wish to highlight the additional requirement for ballots of staff in six key sectors: the health service, the fire service,  border security and nuclear decommissioningóbecause of the obvious risks to public safety and securityóand education and transport. A ballot is required because of the massive disproportionate disruption that stoppages in those areas can cause.",PHYSICAL
"We will publish the Governmentís response and details of the scope of the 40% threshold by the time the Bill is in Committee in the other place. As I have said, these measures will not make strikes illegal or impossible. If union leaders can make a genuine and compelling case to their members, they will have no problem securing the votes required. I believe that the vast majority of industrial action is unfortunate and unnecessary, but it is important that workers are able to go on strike. If union members truly want to do so, I will not stand in their way.
",RIGHTS
"in a general election the electorate do not face a binary choice. Secondly, everyone affected by the result of a general election has the right to vote. When a union votes on industrial action, only its members have the right to vote. Therefore, it is absolutely right that there should be a clear, effective mandate.",RIGHTS
"The right hon. Gentleman talks about having a mandate for this Bill. His party was wholly rejected in Scotland, so why does he not enter discussions with the Scottish Government to devolve trade union law to the Scottish Parliament?
",AUTONOMY
" As things stand, that is not always the case. Union leaders can secure a mandate for industrial action and then keep using it for as long as they please. For example, in October 2013 the NASUWT justified a walk-out by citing a mandate acquired in November 2011, almost two years earlier. That is hardly a constructive approach to industrial relations",RELATE
"Does the right hon. Gentleman not recognise that the reason the Opposition object to the Bill is that when people choose to go on strike they get only a tiny bit of strike pay, not their proper pay? They have responsibilities and families to support, so nobody goes on strike just for the hell of it, they do so because they need to.",COLLECTIVE
" She is right that strikes should always be a last resortóI think that is the point she is making. If union members wish to take strike action, they will vote for it and meet the proposed thresholds.",RIGHTS
"As my hon. Friend said, a two-year-old mandate is unlikely to reflect the latest negotiations and would fail to reflect changes in the workforce. To ensure that any industrial action is based on a current mandate from current members, the Bill provides a four-month validity period after a ballot result is announced.",RIGHTS
"Is my right hon. Friend not showing with this legislation, once again, that the Conservative Government are standing  up for people who want to work and against bullies who want to stop them? That is what fundamentally underlies his approach?",JUST
I thank my hon. Friend for highlighting how the Bill protects the rights of working people across the country when they are affected by strike action that has no proper mandate.,RIGHTS
"The Bill provides that voting papers sent to union members and employers will state the details of the trade dispute, exactly what type of industrial action is proposed, and an indication of the time period in which that action will take place. This will ensure that members know exactly what they are voting for or against and allow them to make an informed decision.",AUTONOMY
"One of the valuable roles performed by unions over the years has been to defend workers from abuse, bullying and harassment at the hands of managers. There is no place for such behaviour in the modern workplace, and I applaud anyone who stands up against it. But bosses are not the only culprits. The independent Carr report contained shocking accounts of appalling bullying and harassment directed at non-strikers by trade union members. There were threats that included details of where workersí children go to school, and abusive text messages warning, ìWe know where you live.î Photographs of non-strikers were posted online in a bid to shame them. Workers who had failed to support industrial action reported being punished by colleagues who deliberately saddled them with antisocial shift patterns or isolated them in the workplace.

It is not acceptable for managers to harass and abuse trade union members who take lawful industrial action. Nor is it acceptable for strikers to treat those who choose to work in the same way. While such abuses are doubtless the actions of a tiny minority of trade unionists, they should never be allowed to happen without consequences. The Bill makes it clear that such intimidation has no place in the modern workplace.",PHYSICAL
"Is it not the case that this is just another instance of the Tory party no longer being on the side of peopleís rights? There are no more rights. There is no longer a right to social security, legal aid or access to employment tribunals. The Conservative party is becoming much more authoritarian and Labour Members do not like it. It is no longer the party of rights. It used to have a fine tradition of rights, but that is disappearing.",AUTONOMY
"My hon. Friend highlights an important point. It reflects the fact that, unfortunately, public sector unions seem to have more leaders who do not want to represent the views of their members and will take strike action without a full and proper mandate.
",POLIT
"The code of practice on picketing, which is already followed without difficulty by many unions, requires the appointment of a picket supervisor. The Bill will make that a statutory obligation. It does not add any new requirement that is not already in the code. The supervisor must either attend the picket line or be readily contactable by the union and the police and able to attend at short notice, and he or she must wear an armband or other means to identify them in order to ensure that picketing is peaceful and lawful.",RIGHTS
"Let me turn to political funds. The introduction of ballot thresholds will help ensure that unions reflect the will of their whole membership and that the views of every member count. Another way we are going to achieve that is through changes to the way in which political funds are managed.
",RIGHTS
"The Secretary of State discounts e-balloting because of potential fraud. How about considering an amendment to the Bill with regards to balloting in the workplace, where there cannot be any fraud whatsoever? It will be democratised and there will be a huge turnout on every occasion, which is surely what the Secretary of State is seeking to implement.",REPLIC
"On political funds, first we will increase transparency on the way in which political funds are spent, helping members to make an informed decision about whether or not they want to contribute. The Bill places a duty on unions to report in greater detail on what annual expenditure over £2,000 is useful, helping members decide whether or not they want to pay into the fund. After all, freedom to choose without having all the facts is no freedom at all.

Secondly, unions will need to obtain the active consent of members to deduct a political levy. At present, members can, in theory, opt out, although many unions do not even tell new members that the political levy exists, let alone about them having to pay for it.
",RIGHTS
" Is not it a fundamental right that peopleís pay packets should not be interfered with, without them knowing exactly where the money and the dues are going? That is what this Bill seeks to achieve",AUTONOMY
"In fact, in Northern Ireland, members have had an active choice for almost 90 years and their unions are still perfectly able to operate and to organise. The National Union of Rail, Maritime and Transport Workers and the Prison Officers Association still have more than four fifths of their members choosing to opt in. All we are asking is for a simple tick box on the same membership forms in England, Scotland and Wales.",COMPAR
" Does the Secretary of State accept that the political fund is not just about putting money into political parties, but about holding the Government of the day to account?
",AUTONOMY
" They will still allow the unions to raise the funds, but they will just have to be more open about how they do so and what they do with them.",RIGHTS
"That being the case, why does the Secretary of State want to overrule agreements made freely between unions and public sector employees about the appropriate amount of time that should be spent on union duties?",RELATE
"Does my right hon. Friend agree that this is a simple matter of transparency? If people want to give money to the Labour party as union members, they should choose to do so. Indeed, if they do not actually choose to do so, the danger is that the unions are arguably guilty of mis-selling, because people do not know what they are buying when they join up for membership of a trade union.
",AUTONOMY
" This is an issue of transparency. It is about ensuring that when people, rightly, give money to any political party, they know that they are doing so and do it with their eyes wide open.",AUTONOMY
" These changes are entirely consistent with that. We are saying that if someone is a union member, they should know that some of their money is going towards political purposes. It should be open and transparent. That is not the case in England, Scotland and Wales. It is the case in Northern Ireland. If it works in Northern Ireland, it can work in the rest of the United Kingdom.
",COMPAR
"Turning to check-off, as the Minister for the Cabinet Office and Paymaster General has announced, a proposed amendment to the Bill will seek to end the practice by which union subscriptions are processed through payroll in public sector organisations. The so-called check-off system was created in a time before direct debits existed and serves no purpose in the modern workplace. It has already been abolished across Whitehall. The amendment will extend this modernising step to the rest of the taxpayer-funded workforce.",RIGHTS
 Does he agree that the Bill is anti-business and anti-working practice and that most employers that have trade unions recognise their value?,RELATE
" There is no transparency around how much time they spend on union work and no controls in place to ensure that the taxpayer is getting value for money. It is a situation that most ordinary Britons, including many dedicated public servants I have spoken to, find absolutely baffling. That is why civil service Departments are already required to publish information about the use of facility time by their staff. The Bill allows the Government to make regulations extending that to all public sector employers. It will include information about an employerís spending on trade union duties and activities and about how many of its union representatives spend a specified percentage of their time on their union role. We have already made considerable savings for the taxpayer by requiring Departments to publish this information, as we have just heard from my hon. Friend the Member for Wells (James Heappey). However, if transparency alone  does not lead to further savings, the Bill also grants Ministers the power to set a cap on the time and money spent on facility time.",ECONOMIC
"There is nothing wrong with facility timeóthe Bill is clear about thatóbut it should be open and transparent, and the current rules do not ensure that.
",RIGHTS
"For the first time, the certification officer will have the ability to impose financial penalties on unions that do not comply with statutory requirementsóthe very requirements that Parliament has deemed necessary. The Bill passes the cost of that regulation on to the unions. That is entirely in line with modern best practice. It is why banks fund the Financial Conduct Authority and why utility regulators are paid for by utility firms.",COMPL
"The Bill politicises the role and, to the trade union side, appears to put the certification officer on one side of the divide, rather than keeping them as a neutral arbiter.",RELATE
"Does she agree that the focus should be on collaboration across industry and trade unions to raise productivity and wages, whereas the Bill will get people on the streets and force conflict?
",RELATE
Does my hon. Friend agree that the  Billís real agenda is to stop public sector workers speaking out against this Governmentís attacks on their pay and conditions?,AUTONOMY
"She says, rightly, that the number of days lost to strikes in the UK is at its lowest for 20 years. It is even more significant than that: we lose fewer days to strike action in the UK today than we did during the second world war. There is no problem here that needs fixing.",REPLIC
"There is no necessity to employ the law in this draconian way, especially when this country already has the most restrictive trade union laws in Europe. The Chartered Institute of Personnel and Development, the trade group for the human resources sector, has criticised the Bill as an ìoutdated responseî to todayís challenges, commenting that the

ìGovernment proposals seem to be targeting yesterdayís problem instead of addressing the reality of modern workplacesî.",REPLIC
Does she agree that the Governmentís proposals are a threat to the security of our country because they threaten democracy?,AUTONOMY
It is right that the benefits that trade unions bring to our society are recognised and extended to those who are not members of trade unions but happen to be at work. Any attack on those rights that weakens those powers threatens the progress made over many years in democracy at work.,POWER
The right to be part of a trade union to campaign for protection at work is a fundamental socioeconomic right. It is enshrined in the UNís universal declaration of human rights and the international covenant on civil and political rights,COLLECTIVE
"Before I was so rudely interrupted, I was just about to say that the Bill rides roughshod over that right. It threatens the basic options that those at work have to safeguard their pay and conditions by standing together to win improvements. Liberty, Amnesty and the British Institute of Human Rights have all said that the Billís purpose is to

ìundermine the rights of all working peopleî

and amounts to a

ìmajor attack on civil liberties in the UK.î",AUTONOMY
"For example, the requirement forcing workers to disclose media comments to the authorities a week in advance or face a fine and the requirement under clause 9 for picket supervisors to register with the police and wear identifying badges are a dangerous attack on basic liberties that would not be tolerated by the Conservative party if they were imposed on any other section of society.",AUTONOMY
"They have slashed legal aid and introduced employment tribunal fees, which deny women the chance to sue for equal pay or defend themselves against sexual harassment.",ACCESS
" Clauses 2 and 3 are deliberately designed to undermine the bargaining power of trade unions by requiring minimum turnouts, thresholds and support before a strike ballot is valid. The new proposals demand a mandate for unions that breaks the democratic conventions of our society by counting votes not cast as essentially no votes.",AUTONOMY
"Clauses 4 to 6 might more usefully be described as the clauses that smother unions in ìblue tapeî and the hypocrisy of the Business Secretary in this respect is staggering. In July, he launched his drive to cut red tape, yet when it comes to unions he is  increasing the powers of the certification officer and deliberately placing additional information and reporting burdens on unions. Not content with doing that, the Government, through clauses 12 and 13, are reducing the ability of trade union officials to do their jobs with the introduction of new powers to restrict facility time.",AUTONOMY
"Management in this country has agreed with trade unions at a local level who should have facility time and what they should do with it. Why should the Government have to intervene to destroy that partnership, which has worked for the benefit of all concerned?",RELATE
"Clauses 7 and 8 extend the notice requirements for any industrial actions and restrict the effect of any ballot for strike action to four months. These clauses are designed to narrow the effectiveness of any industrial action, even if it has reached the much higher requirements of turnout and support required for clauses 2 and 3. There is no sign of any evidence that could justify these changes and no sign of a clamour for employers to change the existing system.",REPLIC
" it is to do with protecting and helping ordinary hard-working people to go about their day-to-day lives and their work unimpeded by strike action, which sometimes has turnouts as low as 16%. It is reasonable to protect them, and I ask the hon. Lady to support that
",BALANC
"The ILO has already criticised the UK on a number of occasions for  its constraints on the right to strike, and the United Nations special rapporteur on the rights to freedom of peaceful assembly and of association has called for more, not less, trade union freedom in Britain.",AUTONOMY
"Given the serious questions about its effect on fundamental rights, the Bill may be open to legal challenge on a number of fronts, including its impact on the devolution settlements, because it covers areas such as health and education that are clearly devolved. The Welsh Government, who have a substantially better record of working constructively with trade unions than this Administration, have objected to the proposals in strong terms, and are considering whether a legislative consent motion might be appropriate.",LEGAL
It is right that the Bill brings in protection for hard-working people who want proper workplace representation rather than just a cash cow to be milked by union leaders for their own political game.,POLIT
"Is he aware that many trade unions have political funds but donate not a single penny to the Labour party? The Minister spoke of union members not having a say, but a ballot on political funds has to be held every 10 years. People can opt out of paying the political levy at any time during their membership.
",ADEQ
What it shows is that it is necessary to make sure that relations between workers who need support and the trade unions do not become part of a proxy political battle.,POLIT
" I therefore ask the Secretary of State to reconsider the proposals in the Bill to allow private sector companies to employ agency workers during strikes. There are key differences between the services provided by the private and public sectors, and that should be recognised in the Bill.",REPLIC
